Course,Section,Year,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
ANTH 214,1,W2023,ONLINE - TAKE-HOME - 72 HOURS,14-Apr-2023 at 9:00 AM,17-Apr-2023 at 12:00 PM,TAKE,HOME,AAA,ZZZ,
ANTH 326,1,W2023,ONLINE - TAKE-HOME - 72 HOURS,14-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ANTH 359,1,W2023,ONLINE - TAKE-HOME - 1 WEEK,14-Apr-2023 at 9:00 AM,21-Apr-2023 at 12:00 PM,TAKE,HOME,AAA,ZZZ,
ANTH 381,1,W2023,ONLINE - TAKE-HOME - 1 WEEK,17-Apr-2023 at 2:00 PM,27-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ANTH 481,1,W2023,ONLINE - TAKE-HOME - 1 WEEK,14-Apr-2023 at 2:00 PM,24-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ARCH 202,1,W2023,IN-PERSON - ALL DAY ORAL - D.T. CAMPUS,14-Apr-2023 at 9:00 AM,14-Apr-2023 at 9:30 PM,MDHAR,114,AAA,ZZZ,
ARCH 241,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,25-Apr-2023 at 9:00 AM,25-Apr-2023 at 12:00 PM,GYM,MAIN GYM,4-6,AAA,ZZZ
ARCH 251,1,W2023,ONLINE - TAKE-HOME - 48 HOURS,18-Apr-2023 at 2:00 PM,20-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ARCH 251,4,W2023,ONLINE - TAKE-HOME - 48 HOURS,18-Apr-2023 at 2:00 PM,20-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ARCH 304,1,W2023,IN-PERSON - ALL DAY ORAL - D.T. CAMPUS,17-Apr-2023 at 9:00 AM,17-Apr-2023 at 9:30 PM,MDHAR,114,AAA,ZZZ,
ARCH 304,2,W2023,IN-PERSON - ALL DAY ORAL - D.T. CAMPUS,14-Apr-2023 at 9:00 AM,14-Apr-2023 at 9:30 PM,MDHAR,101,AAA,ZZZ,
ARCH 355,1,W2023,ONLINE - TAKE-HOME - 48 HOURS,24-Apr-2023 at 9:00 AM,26-Apr-2023 at 12:00 PM,TAKE,HOME,AAA,ZZZ,
ARCH 406,1,W2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,18-Apr-2023 at 9:00 AM,19-Apr-2023 at 9:30 PM,MDHAR,"101, 102, 114",AAA,ZZZ,
ARCH 406,2,W2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,18-Apr-2023 at 9:00 AM,19-Apr-2023 at 9:30 PM,MDHAR,"101, 102, 114",AAA,ZZZ,
ARCH 406,3,W2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,18-Apr-2023 at 9:00 AM,19-Apr-2023 at 9:30 PM,MDHAR,"101, 102, 114",AAA,ZZZ,
ARCH 406,7,W2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,18-Apr-2023 at 9:00 AM,19-Apr-2023 at 9:30 PM,MDHAR,"101, 102, 114",AAA,ZZZ,
ARCH 528,1,W2023,ONLINE - TAKE-HOME - 72 HOURS,24-Apr-2023 at 2:00 PM,27-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ARCH 528,2,W2023,ONLINE - TAKE-HOME - 72 HOURS,24-Apr-2023 at 2:00 PM,27-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ARCH 528,3,W2023,ONLINE - TAKE-HOME - 72 HOURS,24-Apr-2023 at 2:00 PM,27-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ARCH 673,1,W2023,IN-PERSON - ALL DAY ORAL - D.T. CAMPUS,TBA,TBA,N/A,N/A,AAA,ZZZ,
ARCH 673,2,W2023,IN-PERSON - ALL DAY ORAL - D.T. CAMPUS,20-Apr-2023 at 9:00 AM,21-Apr-2023 at 9:30 PM,MDHAR,"101, 102, 114",AAA,ZZZ,
ARCH 673,3,W2023,IN-PERSON - ALL DAY ORAL - D.T. CAMPUS,20-Apr-2023 at 9:00 AM,21-Apr-2023 at 9:30 PM,MDHAR,"101, 102, 114",AAA,ZZZ,
ARCH 683,1,W2023,IN-PERSON - THREE DAY ORAL EXAM - D.T. CAMPUS,24-Apr-2023 at 9:00 AM,26-Apr-2023 at 9:30 PM,MDHAR,"101, 102, 114",AAA,ZZZ,
ARTH 202,1,W2023,ONLINE - TAKE-HOME - 72 HOURS,21-Apr-2023 at 2:00 PM,24-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ARTH 310,1,W2023,ONLINE - TAKE-HOME - 1 WEEK,14-Apr-2023 at 9:00 AM,21-Apr-2023 at 12:00 PM,TAKE,HOME,AAA,ZZZ,
ARTH 325,1,W2023,ONLINE - TAKE-HOME - 72 HOURS,17-Apr-2023 at 2:00 PM,20-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
ATOC 100,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,27-Apr-2023 at 9:00 AM,27-Apr-2023 at 12:00 PM,BURNSIDE,719A,AAA,ZZZ,
ATOC 181,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,28-Apr-2023 at 9:00 AM,28-Apr-2023 at 12:00 PM,GYM,MAIN GYM,19-24,AAA,ZZZ
ATOC 184,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,25-Apr-2023 at 9:00 AM,25-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,32-37,AAA,ZZZ
ATOC 215,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Apr-2023 at 2:00 PM,19-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,34,AAA,ZZZ
ATOC 219,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,24-Apr-2023 at 9:00 AM,24-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,45-46,AAA,ZZZ
ATOC 309,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,18-Apr-2023 at 2:00 PM,18-Apr-2023 at 5:00 PM,BURNSIDE,719A,AAA,ZZZ,
ATOC 513,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,27-Apr-2023 at 2:00 PM,27-Apr-2023 at 5:00 PM,BURNSIDE,719A,AAA,ZZZ,
ATOC 521,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,28-Apr-2023 at 2:00 PM,28-Apr-2023 at 5:00 PM,BURNSIDE,719A,AAA,ZZZ,
BIEN 300,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Apr-2023 at 2:00 PM,19-Apr-2023 at 5:00 PM,GYM,MAIN GYM,4-8,AAA,ZZZ
BIEN 330,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,17-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,ENGTR,60,AAA,ZZZ,
BIEN 360,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,26-Apr-2023 at 9:00 AM,26-Apr-2023 at 12:00 PM,GYM,MAIN GYM,5-8,AAA,ZZZ
BIEN 500,1,W2023,ONLINE - TAKE-HOME - 24 HOURS,24-Apr-2023 at 2:00 PM,25-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
BIEN 500,2,W2023,ONLINE - TAKE-HOME - 24 HOURS,24-Apr-2023 at 2:00 PM,25-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
BINF 511,1,W2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,26-Apr-2023 at 2:00 PM,26-Apr-2023 at 5:00 PM,CENTEN,Ballroom,AAA,ZZZ,
BIOC 212,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Apr-2023 at 2:00 PM,14-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,23-32,AAA,ZZZ
BIOC 220,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,17-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,GYM,MAIN GYM,29-32,AAA,ZZZ
BIOC 312,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Apr-2023 at 9:00 AM,19-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,30-32,AAA,ZZZ
BIOC 404,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,24-Apr-2023 at 2:00 PM,24-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,33,AAA,ZZZ
BIOC 458,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,17-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,28,AAA,ZZZ
BIOC 470,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,26-Apr-2023 at 9:00 AM,26-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,16,AAA,ZZZ
BIOC 503,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,18-Apr-2023 at 9:00 AM,18-Apr-2023 at 12:00 PM,MCMED,335,AAA,ZZZ,
BIOL 112,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Apr-2023 at 2:00 PM,14-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,1-22,AAA,ZZZ
BIOL 201,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,27-Apr-2023 at 2:00 PM,27-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,9-23,AAA,ZZZ
BIOL 202,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Apr-2023 at 2:00 PM,19-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,1-20,AAA,ZZZ
BIOL 205,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Apr-2023 at 9:00 AM,14-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,35-38,AAA,ZZZ
BIOL 216,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Apr-2023 at 2:00 PM,19-Apr-2023 at 5:00 PM,GYM,BLEACHERS,1-5,AAA,ZZZ
BIOL 303,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Apr-2023 at 9:00 AM,20-Apr-2023 at 12:00 PM,GYM,MAIN GYM,30-33,AAA,ZZZ
BIOL 305,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,17-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,33-34,AAA,ZZZ
BIOL 307,1,W2023,ONLINE - TAKE-HOME - 10 DAYS,13-Apr-2023 at 2:00 PM,23-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
BIOL 307,2,W2023,ONLINE - TAKE-HOME - 10 DAYS,13-Apr-2023 at 2:00 PM,23-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
BIOL 314,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Apr-2023 at 2:00 PM,14-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,33-34,AAA,ZZZ
BIOL 319,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Apr-2023 at 9:00 AM,21-Apr-2023 at 12:00 PM,GYM,MAIN GYM,21-24,AAA,ZZZ
BIOL 320,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Apr-2023 at 2:00 PM,21-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,1,AAA,ZZZ
BIOL 441,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,28-Apr-2023 at 2:00 PM,28-Apr-2023 at 5:00 PM,STBIO,S3/3,AAA,ZZZ,
BIOL 568,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,17-Apr-2023 at 9:00 AM,17-Apr-2023 at 12:00 PM,STBIO,S3/3,AAA,ZZZ,
BMDE 502,1,W2023,ONLINE - TAKE-HOME - 48 HOURS,17-Apr-2023 at 9:00 AM,19-Apr-2023 at 12:00 PM,TAKE,HOME,AAA,ZZZ,
BREE 217,1,W2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,24-Apr-2023 at 9:00 AM,24-Apr-2023 at 12:00 PM,CENTEN,Ballroom,AAA,ZZZ,
BREE 301,1,W2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,20-Apr-2023 at 2:00 PM,20-Apr-2023 at 5:00 PM,CENTEN,Ballroom,AAA,ZZZ,
BREE 314,1,W2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,28-Apr-2023 at 2:00 PM,28-Apr-2023 at 5:00 PM,CENTEN,Ballroom,AAA,ZZZ,
BREE 341,1,W2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,26-Apr-2023 at 2:00 PM,26-Apr-2023 at 5:00 PM,CENTEN,Ballroom,AAA,ZZZ,
BREE 501,1,W2023,IN-PERSON - LAB EXAM - MAC CAMPUS,28-Apr-2023 at 2:00 PM,28-Apr-2023 at 5:00 PM,Macdonald Stewart,MS2-028/029,AAA,ZZZ,
BREE 518,1,W2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,20-Apr-2023 at 2:00 PM,20-Apr-2023 at 5:00 PM,CENTEN,Ballroom,AAA,ZZZ,
BTEC 306,1,W2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Apr-2023 at 2:00 PM,21-Apr-2023 at 5:00 PM,CENTEN,Ballroom,AAA,ZZZ,
BUSA 391,71,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,17-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,19,AAA,ZZZ
CANS 301,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,28-Apr-2023 at 2:00 PM,28-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,18,AAA,ZZZ
CANS 312,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,26-Apr-2023 at 2:00 PM,26-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,41,AAA,ZZZ
CHEE 204,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,28-Apr-2023 at 9:00 AM,28-Apr-2023 at 12:00 PM,ENGTR,100,AAA,ZZZ,
CHEE 220,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,24-Apr-2023 at 2:00 PM,24-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,30-32,AAA,ZZZ
CHEE 310,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Apr-2023 at 9:00 AM,14-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,39-41,AAA,ZZZ
CHEE 315,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Apr-2023 at 9:00 AM,21-Apr-2023 at 12:00 PM,GYM,MAIN GYM,25-29,AAA,ZZZ
CHEE 351,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,17-Apr-2023 at 9:00 AM,17-Apr-2023 at 12:00 PM,ENGTR,100,AAA,ZZZ,
CHEE 440,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,18-Apr-2023 at 2:00 PM,18-Apr-2023 at 5:00 PM,ENGTR,100,AAA,ZZZ,
CHEE 456D2,1,W2023,IN-PERSON - 2 DAY ORAL EXAM - D.T. CAMPUS,20-Apr-2023 at 9:00 AM,21-Apr-2023 at 5:00 PM,WONG,1020,AAA,ZZZ,
CHEE 474,1,W2023,IN-PERSON - THREE DAY ORAL - D.T. CAMPUS,26-Apr-2023 at 9:00 AM,28-Apr-2023 at 5:00 PM,WONG,1050,AAA,ZZZ,
CHEE 521,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,24-Apr-2023 at 9:00 AM,24-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,17,AAA,ZZZ
CHEE 543,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,25-Apr-2023 at 2:00 PM,25-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,39-40,AAA,ZZZ
CHEE 584,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,19-Apr-2023 at 2:00 PM,19-Apr-2023 at 5:00 PM,ENGTR,60,AAA,ZZZ,
CHEM 120,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Apr-2023 at 2:00 PM,21-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,8-38,AAA,ZZZ
CHEM 120,2,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Apr-2023 at 2:00 PM,21-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,8-38,AAA,ZZZ
CHEM 181,1,W2023,ONLINE EXAM - 72 HOURS,14-Apr-2023 at 6:30 PM,17-Apr-2023 at 6:30 PM,,,,,
CHEM 204,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Apr-2023 at 2:00 PM,20-Apr-2023 at 5:00 PM,ENGTR,100,AAA,ZZZ,
CHEM 211,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,28-Apr-2023 at 2:00 PM,28-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,37-40,AAA,ZZZ
CHEM 212,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,28-Apr-2023 at 2:00 PM,28-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,37-40,AAA,ZZZ
CHEM 214,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,17-Apr-2023 at 9:00 AM,17-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,22-23,AAA,ZZZ
CHEM 219,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,24-Apr-2023 at 9:00 AM,24-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,45-46,AAA,ZZZ
CHEM 222,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,27-Apr-2023 at 9:00 AM,27-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,5-20,AAA,ZZZ
CHEM 233,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,19-Apr-2023 at 9:00 AM,19-Apr-2023 at 12:00 PM,MAASS,10,AAA,ZZZ,
CHEM 234,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,27-Apr-2023 at 9:00 AM,27-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,5-20,AAA,ZZZ
CHEM 273,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,18-Apr-2023 at 2:00 PM,18-Apr-2023 at 5:00 PM,MAASS,10,AAA,ZZZ,
CHEM 281,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,24-Apr-2023 at 2:00 PM,24-Apr-2023 at 5:00 PM,MAASS,10,AAA,ZZZ,
CHEM 332,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,27-Apr-2023 at 9:00 AM,27-Apr-2023 at 12:00 PM,MAASS,328,AAA,ZZZ,
CHEM 334,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,20-Apr-2023 at 9:00 AM,20-Apr-2023 at 12:00 PM,MAASS,217,AAA,ZZZ,
CHEM 355,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,17-Apr-2023 at 9:00 AM,17-Apr-2023 at 12:00 PM,GYM,MAIN GYM,22-23,AAA,ZZZ
CHEM 377,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,21-Apr-2023 at 2:00 PM,21-Apr-2023 at 5:00 PM,MAASS,217,AAA,ZZZ,
CHEM 429,1,W2023,ONLINE - TAKE-HOME - 3 WEEKS,See instructor for details,28-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
CHEM 462,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,24-Apr-2023 at 2:00 PM,24-Apr-2023 at 5:00 PM,MAASS,328,AAA,ZZZ,
CHEM 482,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,21-Apr-2023 at 2:00 PM,21-Apr-2023 at 5:00 PM,MAASS,328,AAA,ZZZ,
CHEM 502,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,25-Apr-2023 at 2:00 PM,25-Apr-2023 at 5:00 PM,MAASS,217,AAA,ZZZ,
CHEM 505,1,W2023,ONLINE - TAKE-HOME - 72 HOURS,14-Apr-2023 at 9:00 AM,17-Apr-2023 at 12:00 PM,TAKE,HOME,AAA,ZZZ,
CHEM 531,1,W2023,ONLINE - TAKE-HOME - 72 HOURS,24-Apr-2023 at 9:00 AM,27-Apr-2023 at 9:00 AM,TAKE,HOME,AAA,ZZZ,
CHEM 532,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,24-Apr-2023 at 2:00 PM,27-Apr-2023 at 5:00 PM,MAASS,328,AAA,ZZZ,
CHEM 542,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,17-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,MAASS,217,AAA,ZZZ,
CHEM 585,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,17-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,MAASS,328,AAA,ZZZ,
CIVE 202,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Apr-2023 at 2:00 PM,14-Apr-2023 at 5:00 PM,GYM,BLEACHERS,1-5,AAA,ZZZ
CIVE 205,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,28-Apr-2023 at 9:00 AM,28-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,38-40,AAA,ZZZ
CIVE 206,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Apr-2023 at 9:00 AM,21-Apr-2023 at 12:00 PM,GYM,MAIN GYM,30-36,AAA,ZZZ
CIVE 207,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,17-Apr-2023 at 9:00 AM,17-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,36-41,AAA,ZZZ
CIVE 225,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,25-Apr-2023 at 9:00 AM,25-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,40-43,AAA,ZZZ
CIVE 302,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,17-Apr-2023 at 9:00 AM,17-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,29-32,AAA,ZZZ
CIVE 318,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Apr-2023 at 2:00 PM,14-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,39-43,AAA,ZZZ
CIVE 319,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Apr-2023 at 9:00 AM,19-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,33-36,AAA,ZZZ
CIVE 324,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,27-Apr-2023 at 9:00 AM,27-Apr-2023 at 12:00 PM,GYM,MAIN GYM,27-30,AAA,ZZZ
CIVE 327,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,26-Apr-2023 at 9:00 AM,26-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,17-19,AAA,ZZZ
CIVE 416,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Apr-2023 at 9:00 AM,18-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,46,AAA,ZZZ
CIVE 463,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Apr-2023 at 9:00 AM,21-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,45-46,AAA,ZZZ
CIVE 512,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,24-Apr-2023 at 9:00 AM,24-Apr-2023 at 12:00 PM,ENGTR,1090,AAA,ZZZ,
CIVE 542,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Apr-2023 at 2:00 PM,20-Apr-2023 at 5:00 PM,GYM,FIELD HOUSE,37,AAA,ZZZ
CIVE 555,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,26-Apr-2023 at 9:00 AM,26-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,39,AAA,ZZZ
CLAS 203,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Apr-2023 at 9:00 AM,19-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,2-14,AAA,ZZZ
CLAS 212,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,24-Apr-2023 at 9:00 AM,24-Apr-2023 at 12:00 PM,LEA,617,AAA,ZZZ,
CLAS 212,2,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,24-Apr-2023 at 9:00 AM,24-Apr-2023 at 12:00 PM,LEA,15,AAA,ZZZ,
CLAS 222,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,26-Apr-2023 at 2:00 PM,26-Apr-2023 at 5:00 PM,LEA,210,AAA,ZZZ,
CLAS 230D2,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,17-Apr-2023 at 2:00 PM,17-Apr-2023 at 5:00 PM,LEA,109,AAA,ZZZ,
CLAS 302,1,W2023,ONLINE - TAKE-HOME - 48 HOURS,12-Apr-2023 at 2:00 PM,14-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
CLAS 322,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,24-Apr-2023 at 2:00 PM,24-Apr-2023 at 5:00 PM,LEA,721,AAA,ZZZ,
CLAS 332,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,26-Apr-2023 at 2:00 PM,26-Apr-2023 at 5:00 PM,LEA,819,AAA,ZZZ,
CLAS 335,1,W2023,ONLINE - TAKE-HOME - 1 WEEK,14-Apr-2023 at 2:00 PM,21-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
CLAS 402,1,W2023,ONLINE - TAKE-HOME - 48 HOURS,17-Apr-2023 at 2:00 PM,19-Apr-2023 at 5:00 PM,TAKE,HOME,AAA,ZZZ,
CLAS 412,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,14-Apr-2023 at 2:00 PM,14-Apr-2023 at 5:00 PM,LEA,721,AAA,ZZZ,
CLAS 612,1,W2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,14-Apr-2023 at 2:00 PM,14-Apr-2023 at 5:00 PM,LEA,721,AAA,ZZZ,
COMP 204,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,28-Apr-2023 at 9:00 AM,28-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,1-7,AAA,ZZZ
COMP 208,1,W2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,25-Apr-2023 at 9:00 AM,25-Apr-2023 at 12:00 PM,GYM,FIELD HOUSE,1-12,AAA,ZZZ
