Course,Section,Year,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
AEMA 202,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEMA 310,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEMA 610,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEPH 112,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AEPH 113,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AFRI 200,1,F2023,ONLINE - TAKE-HOME - 72 HOURS,5-Dec-2023 at 2:00 PM,8-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
AGEC 333,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
AGRI 215,1,F2023,ONLINE - TAKE-HOME - 48 HOURS,18-Dec-2023 at 9:00 AM,20-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ANAT 214,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,GYM,Studio 1,1-6,AAA,MIL
ANAT 214,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,GYM,Studio 2,1-5,MON,ZZZ
ANAT 214,001L,F2023,IN-PERSON - LAB EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,SADB,2/49,,AAA,ZZZ
ANAT 261,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,Fieldhouse,21-28,AAA,ZZZ
ANAT 261,001L,F2023,IN-PERSON - LAB EXAM - D.T. CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,SADB,1/56,,AAA,ZZZ
ANAT 315,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,main gym,28-39,AAA,ZZZ
ANAT 315,001L,F2023,IN-PERSON - LAB EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,SADB,2/49,,AAA,ZZZ
ANAT 321,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Fieldhouse,23-33,AAA,ZZZ
ANAT 323,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,GYM,main gym,6-10,AAA,ZZZ
ANAT 365,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,main gym,42-45,AAA,ZZZ
