Course,Section,Course_Title,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
CHEM 204,1,Physical Chem/Biological Scis1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,33-37,AAA,ZZZ
CHEM 211,1,Organic Chemistry 1 Lectures,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Fieldhouse,1-22,AAA,ZZZ
CHEM 211,2,Organic Chemistry 1 Lectures,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Fieldhouse,1-22,AAA,ZZZ
CHEM 212,1,Intro Organic Chemistry 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Fieldhouse,1-22,AAA,ZZZ
CHEM 212,2,Intro Organic Chemistry 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Fieldhouse,1-22,AAA,ZZZ
CHEM 213,1,Intrdctry Physcl Chem1:,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,GYM,Fieldhouse,42-44,AAA,ZZZ
CHEM 267,1,Introductory Chemical Analysis,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,Fieldhouse,42-44,AAA,ZZZ
CHEM 302,1,Introductory Organic Chemistry 3,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,GYM,Fieldhouse,13-16,AAA,ZZZ
CHEM 345,1,Intro to Quantum Chemistry,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,main gym,12-14,AAA,ZZZ
CHEM 381,1,Inorganic Chemistry 2,ONLINE - TIMED EXAM - 72 HOURS,11-Dec-2023 at 9:00 AM,14-Dec-2023 at 9:00 AM,ONLINE,EXAM,,AAA,ZZZ
CHEM 429,1,"Chem of Energy, Storage & Util",ONLINE - TAKE-HOME - 72 HOURS,12-Dec-2023 at 2:00 PM,15-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
CHEM 512,1,"Catalysis, Concepts and App",IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,MAASS,328,,AAA,ZZZ
CHEM 552,1,Physical Organic Chem,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,11-Dec-2023 at 12:00 PM,MAASS,328,,AAA,ZZZ
CHEM 556,1,Advanced Quantum Mechanics,ONLINE - TAKE-HOME - 7 DAYS,14-Dec-2023 at 2:00 PM,21-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
CHEM 582,1,Supramolecular Chemistry,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,11-Dec-2023 at 12:00 PM,MAASS,217,,AAA,ZZZ
CIVE 205,1,Statics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,Fieldhouse,10-12,AAA,ZZZ
CIVE 207,1,Solid Mechanics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,main gym,15-24,AAA,ZZZ
CIVE 208,1,Civil Engineering Sys Analysis,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,main gym,11-17,AAA,ZZZ
CIVE 281,1,Analytical Mechanics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,main gym,28-345,AAA,ZZZ
CIVE 290,1,Thermodynamics & Heat Transfer,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,main gym,4-9,AAA,ZZZ
CIVE 311,1,Geotechnical Mechanics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,Fieldhouse,17-20,AAA,ZZZ
CIVE 317,1,Structural Engineering 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,main gym,9-14,AAA,ZZZ
CIVE 320,1,Numerical Methods,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 6:30 PM,11-Dec-2023 at 9:30 PM,GYM,Fieldhouse,34-37,AAA,ZZZ
CIVE 323,1,Hydrology and Water Resources,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,Fieldhouse,29-32,AAA,ZZZ
CIVE 428,1,Water Resrces & Hydraulic Eng.,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,ENGTR,2100,,AAA,ZZZ
CIVE 430,1,Water Treatment&Pollut Control,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,18-Dec-2023 at 2:00 PM,18-Dec-2023 at 5:00 PM,ENGTR,2100,,AAA,ZZZ
CIVE 440,1,Traffic Engineering&Simulation,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,ENGTR,2100,,AAA,ZZZ
CIVE 446,1,Construction Engineering,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,GYM,main gym,33-36,AAA,ZZZ
CIVE 462,1,Design of Steel Structures,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,GYM,main gym,26-28,AAA,ZZZ
CIVE 527,1,Renov&Preserv:Infrastructure,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,main gym,10-11,AAA,ZZZ
CIVE 528,1,Design of Wood Structures,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,18-Dec-2023 at 2:00 PM,18-Dec-2023 at 5:00 PM,ENGTR,2110,,AAA,ZZZ
CIVE 573,1,Hydraulic Structures,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,ENGTR,2100,,AAA,ZZZ
CLAS 201,1,Greece and Rome,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,STBIO,S1/4,,AAA,ZZZ
CLAS 210,1,Introductory Latin 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,7-Dec-2023 at 6:30 PM,7-Dec-2023 at 9:30 PM,ENGMC,13,,AAA,ZZZ
CLAS 210,2,Introductory Latin 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,7-Dec-2023 at 6:30 PM,7-Dec-2023 at 9:30 PM,ENGMC,13,,AAA,ZZZ
CLAS 210,3,Introductory Latin 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,7-Dec-2023 at 6:30 PM,7-Dec-2023 at 9:30 PM,ENGMC,11,,AAA,ZZZ
CLAS 220,1,Introductory Ancient Greek 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,ENGMC,13,,AAA,ZZZ
CLAS 303,1,Ancient Greek Religion,ONLINE - TAKE-HOME - 48 HOURS,19-Dec-2023 at 2:00 PM,21-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
CLAS 310,1,Intermediate Latin 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,SH680,355,,AAA,ZZZ
CLAS 331,1,Intermediate Modern Greek 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,LEA,721,,AAA,ZZZ
CLAS 336,1,Modern Greek Literature,ONLINE - TAKE-HOME - 7 DAYS,14-Dec-2023 at 2:00 PM,21-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
COMP 204,1,Comp. Programming for Life Sci,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,GYM,Fieldhouse,35-41,AAA,ZZZ
COMP 208,1,Computer Programming for PS&E,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,GYM,Fieldhouse,29-39,AAA,ZZZ
COMP 208,2,Computer Programming for PS&E,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,GYM,Fieldhouse,29-39,AAA,ZZZ
COMP 251,1,Algorithms and Data Structures,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 2:00 PM,11-Dec-2023 at 5:00 PM,GYM,Fieldhouse,22-31,AAA,ZZZ
COMP 303,1,Software Design,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 6:30 PM,18-Dec-2023 at 9:30 PM,GYM,Fieldhouse,22-26,AAA,ZZZ
COMP 310,1,Operating Systems,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,main gym,17-31,AAA,ZZZ
COMP 330,1,Theory of Computation,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,GYM,main gym,5-20,AAA,ZZZ
COMP 350,1,Numerical Computing,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,main gym,10-22,AAA,ZZZ
COMP 360,1,Algorithm Design,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 6:30 PM,14-Dec-2023 at 9:30 PM,GYM,Fieldhouse,19-25,AAA,ZZZ
COMP 417,1,Intro Robots&Intelligent Sys,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,main gym,23-27,AAA,ZZZ
COMP 424,1,Artificial Intelligence,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,1-11,AAA,ZZZ
COMP 451,1,Fundls of Machine Learning,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 6:30 PM,11-Dec-2023 at 9:30 PM,GYM,main gym,6-8,AAA,ZZZ
COMP 462,1,Computational Biology Methods,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-43,AAA,ZZZ
COMP 521,1,Modern Computer Games,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,GYM,Fieldhouse,16-18,AAA,ZZZ
COMP 523,1,Language-based Security,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,GYM,main gym,20-22,AAA,ZZZ
COMP 547,1,Cryptography & Data Security,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 2:00 PM,18-Dec-2023 at 5:00 PM,GYM,Fieldhouse,36-38,AAA,ZZZ
COMP 558,1,Fund. of Computer Vision,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,main gym,21-26,AAA,ZZZ
COMP 561,1,Comp. Biol. Methods & Research,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-43,AAA,ZZZ
COMS 360,1,Environmental Communication,ONLINE - TAKE-HOME - 72 HOURS,11-Dec-2023 at 9:00 AM,14-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
COMS 361,1,Selected Topics Comm Studies 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,ARTS,W-215,,AAA,ZZZ
EAST 241,1,Japanese Writing Beginners 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,EDUC,211,,AAA,ZZZ
EAST 341,1,Japanese Writing Intermed. 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,EDUC,211,,AAA,ZZZ
EAST 368,1,Asian Genre Cinemas,ONLINE - TAKE-HOME - 72 HOURS,11-Dec-2023 at 2:00 PM,14-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
EAST 388,1,Asian Migrations and Diasporas,ONLINE - TAKE-HOME - 72 HOURS,15-Dec-2023 at 2:00 PM,18-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
ECON 208,1,Microeconomic Analysis&Applic,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,Fieldhouse,11-29,AAA,ZZZ
ECON 208,2,Microeconomic Analysis&Applic,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,Fieldhouse,1-10,AAA,ZZZ
ECON 209,1,Macroeconomic Analysis&Applic,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,main gym,16-23,AAA,ZZZ
ECON 223,1,Pol Economy of Trade Policy,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,GYM,main gym,6-19,AAA,ZZZ
ECON 225,1,Economics of the Environment,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,19-27,AAA,ZZZ
ECON 227D1,1,Economic Statistics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 6:30 PM,7-Dec-2023 at 9:30 PM,GYM,Fieldhouse,1-10,AAA,ZZZ
ECON 227D1,2,Economic Statistics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 6:30 PM,7-Dec-2023 at 9:30 PM,GYM,Fieldhouse,1-10,AAA,ZZZ
ECON 230D1,1,Microeconomic Theory,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,GYM,Fieldhouse,39-46,AAA,ZZZ
ECON 230D1,2,Microeconomic Theory,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,GYM,Fieldhouse,34-38,AAA,ZZZ
ECON 250D1,1,Intro to Econ Theory: Honours,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-42,AAA,ZZZ
ECON 257D1,1,Economic Statistics-Honours,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,GYM,Fieldhouse,43-45,AAA,ZZZ
ECON 295,1,Macroeconomics Policy,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 2:00 PM,18-Dec-2023 at 5:00 PM,GYM,main gym,7-18,AAA,ZZZ
ECON 295,2,Macroeconomics Policy,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 2:00 PM,18-Dec-2023 at 5:00 PM,GYM,main gym,7-18,AAA,ZZZ
ECON 302,1,"Money, Banking & Gov Policy",IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,Fieldhouse,23-28,AAA,ZZZ
ECON 306,1,Labour Markets and Wages,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 2:00 PM,18-Dec-2023 at 5:00 PM,GYM,Fieldhouse,33-35,AAA,ZZZ
ECON 313,1,Economic Development 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,Fieldhouse,17-24,AAA,ZZZ
ECON 314,1,Economic Development 2,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,main gym,15-18,AAA,ZZZ
ECON 316,1,The Underground Economy,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,Fieldhouse,38-41,AAA,ZZZ
ECON 319,1,Economic Crises,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,GYM,Fieldhouse,30-34,AAA,ZZZ
ECON 332,1,Macroeconomic Theory- Majors 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,main gym,12-28,AAA,ZZZ
ECON 337,1,Intro Econometrics 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,Fieldhouse,29-31,AAA,ZZZ
ECON 348,1,Urban Economics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 6:30 PM,11-Dec-2023 at 9:30 PM,GYM,Fieldhouse,38-39,AAA,ZZZ
ECON 408,1,Public Sector Economics 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,GYM,BLEACHERS,1-5,AAA,ZZZ
ECON 423,1,International Trade,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,GYM,main gym,11-16,AAA,ZZZ
ECON 452,1,Adv Economic Theory 2-Honours,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,Fieldhouse,27-28,AAA,ZZZ
ECON 460,1,History of Thought 1 - Honours,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,main gym,14-16,AAA,ZZZ
ECON 468,1,Econometrics 1 - Honours,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 6:30 PM,12-Dec-2023 at 9:30 PM,GYM,main gym,9-12,AAA,ZZZ
ECON 546,1,Game Theory,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,GYM,Fieldhouse,43-45,AAA,ZZZ
ECSE 200,1,Electric Circuits 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 6:30 PM,12-Dec-2023 at 9:30 PM,GYM,main gym,13-25,AAA,ZZZ
ECSE 205,1,Prob and Stats for Engineers,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,GYM,main gym,34-39,AAA,ZZZ
ECSE 206,1,Intro to Signals and Systems,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,Studio 1,1-7,AAA,ZZZ
ECSE 209,1,Electrotechnology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 2:00 PM,18-Dec-2023 at 5:00 PM,GYM,main gym,20-23,AAA,ZZZ
ECSE 210,1,Electric Circuits 2,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 6:30 PM,18-Dec-2023 at 9:30 PM,GYM,Fieldhouse,43-45,AAA,ZZZ
ECSE 222,1,Digital Logic,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,GYM,Fieldhouse,20-22,AAA,ZZZ
ECSE 223,1,Model-Based Programming,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,BLEACHERS,1-5,AAA,ZZZ
ECSE 250,1,Fundls of Software Development,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,Fieldhouse,1-5,AAA,ZZZ
ECSE 251,1,Electric and Magnetic Fields,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,main gym,18-19,AAA,ZZZ
ECSE 307,1,Linear Systems and Control,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 9:00 AM,15-Dec-2023 at 12:00 PM,GYM,main gym,37-39,AAA,ZZZ
ECSE 308,1,Intro to Commun Sys & Networks,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 12:00 PM,GYM,main gym,38-44,AAA,ZZZ
ECSE 310,1,Thermodynamics of Computing,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,Fieldhouse,33-34,AAA,ZZZ
ECSE 316,1,Signals and Networks,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,Studio 2,1-7,AAA,ZZZ
ECSE 321,1,Intro. to Software Engineering,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,Fieldhouse,38-39,AAA,ZZZ
ECSE 324,1,Computer Organization,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,main gym,32-40,AAA,ZZZ
ECSE 326,1,Software Requirements Engineer,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Studio 1,1-6,AAA,ZZZ
ECSE 331,1,Electronics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,Fieldhouse,41-44,AAA,ZZZ
ECSE 335,1,Microelectronics,ONLINE - TIMED EXAM - 3 HOURS,11-Dec-2023 at 2:00 PM,11-Dec-2023 at 5:00 PM,ONLINE,EXAM,,AAA,ZZZ
ECSE 353,1,Electromagnetic Fields&Waves,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,18-Dec-2023 at 6:30 PM,18-Dec-2023 at 9:30 PM,GYM,Fieldhouse,38-40,AAA,ZZZ
ECSE 354,1,Electromag Wave Propagation,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,main gym,32-34,AAA,ZZZ
ECSE 362,1,Fundamentals of Power Eng,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,GYM,main gym,22-24,AAA,ZZZ
ECSE 412,1,Discrete TimeSignal Processing,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,ENGTR,2120,,AAA,ZZZ
ECSE 427,1,Operating Systems,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,main gym,17-31,AAA,ZZZ
ECSE 430,1,Photonic Devices and Systems,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,ENGTR,2120,,AAA,ZZZ
ECSE 437,1,Software Delivery,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 6:30 PM,11-Dec-2023 at 9:30 PM,GYM,Fieldhouse,19-21,AAA,ZZZ
ECSE 470,1,Electromech & Static Conv Sys,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,11-Dec-2023 at 12:00 PM,ENGTR,2120,,AAA,ZZZ
ECSE 500,1,Math Found of Systems,ONLINE - TAKE-HOME - 72 HOURS,11-Dec-2023 at 9:00 AM,14-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ECSE 500,2,Math Found of Systems,ONLINE - TAKE-HOME - 72 HOURS,11-Dec-2023 at 9:00 AM,14-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ECSE 501,1,Linear Systems,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,ENGTR,2120,,AAA,ZZZ
ECSE 501,2,Linear Systems,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,ENGTR,2120,,AAA,ZZZ
ECSE 509,1,Probability & Random Signals 2,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 6:30 PM,11-Dec-2023 at 9:30 PM,GYM,Fieldhouse,33,AAA,ZZZ
ECSE 509,2,Probability & Random Signals 2,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,11-Dec-2023 at 6:30 PM,11-Dec-2023 at 9:30 PM,GYM,Fieldhouse,33,AAA,ZZZ
ECSE 512,1,Digital Signal Processing 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,ENGTR,2120,,AAA,ZZZ
ECSE 512,2,Digital Signal Processing 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,ENGTR,2120,,AAA,ZZZ
ECSE 519,1,Semicon Nanostr & Nanophot Dev,ONLINE - TAKE-HOME - 48 HOURS,18-Dec-2023 at 2:00 PM,20-Dec-2023 at 2:00 PM,TAKE,HOME,,AAA,ZZZ
