Course,Section,Course_Title,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
ANAT 261,1,Intro to Dynamic Histology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,Fieldhouse,21-28,AAA,ZZZ
ANAT 261,001L,Intro to Dynamic Histology,IN-PERSON - LAB EXAM - D.T. CAMPUS,21-Dec-2023 at 9:00 AM,21-Dec-2023 at 12:00 PM,SADB,1/56,,AAA,ZZZ
ANAT 315,1,Clin Hum Musculoskeletal Anat,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 2:00 PM,14-Dec-2023 at 5:00 PM,GYM,main gym,28-39,AAA,ZZZ
ANAT 315,001L,Clin Hum Musculoskeletal Anat,IN-PERSON - LAB EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,SADB,2/49,,AAA,ZZZ
ANAT 321,1,Circuitry of the Human Brain,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,Fieldhouse,23-33,AAA,ZZZ
ANAT 323,1,Clinical Neuroanatomy,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 2:00 PM,7-Dec-2023 at 5:00 PM,GYM,main gym,6-10,AAA,ZZZ
ANAT 365,1,Cellular Trafficking,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,main gym,42-45,AAA,ZZZ
ANAT 381,1,Experimental Embryology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,Fieldhouse,38-39,AAA,ZZZ
ANSC 250,1,Principles of Animal Science,IN-PERSON - FORMAL EXAM - MAC CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
ANSC 323,1,Mammalian Physiology,IN-PERSON - FORMAL EXAM - MAC CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
ANSC 326,1,Fundamentals of Pop'n Genetics,IN-PERSON - FORMAL EXAM - MAC CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
ANTH 212,1,Anthropology of Development,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,main gym,5-17,AAA,ZZZ
ANTH 307,1,Andean Prehistory,ONLINE - TAKE-HOME - 72 HOURS,11-Dec-2023 at 9:00 AM,14-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ANTH 308,1,Political Anthropology 01,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 6:30 PM,7-Dec-2023 at 9:30 PM,GYM,Fieldhouse,11-12,AAA,ZZZ
ANTH 352,1,Hist of Anthropological Theory,ONLINE - TAKE-HOME - 72 HOURS,15-Dec-2023 at 9:00 AM,18-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ANTH 358,1,The Process of Anthro Research,ONLINE - TAKE-HOME - 10 Days,2-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,TAKE,HOME,,AAA,ZZZ
ARCH 201,1,"Communication, Behaviour&Arch",IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,8-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
